sector;tipo_jornada;periodo;coste_salarial_eur_mes;coste_hora_efectiva_eur;anio;trimestre
Información y comunicaciones;Jornada a tiempo completo;2021T4;3520.61;24.11;2021;4
Información y comunicaciones;Jornada a tiempo completo;2022T1;3277.16;21.13;2022;1
Información y comunicaciones;Jornada a tiempo completo;2022T2;3331.08;21.99;2022;2
Información y comunicaciones;Jornada a tiempo completo;2022T3;3191.77;23.67;2022;3
Información y comunicaciones;Jornada a tiempo completo;2022T4;3469.87;23.78;2022;4
Información y comunicaciones;Jornada a tiempo completo;2023T1;3494.49;22.48;2023;1
Información y comunicaciones;Jornada a tiempo completo;2023T2;3408.1;22.77;2023;2
Información y comunicaciones;Jornada a tiempo completo;2023T3;3461.92;25.62;2023;3
Información y comunicaciones;Jornada a tiempo completo;2023T4;3690.38;25.87;2023;4
Información y comunicaciones;Jornada a tiempo completo;2024T1;3765.26;24.99;2024;1
Información y comunicaciones;Jornada a tiempo completo;2024T2;3632.91;23.85;2024;2
Información y comunicaciones;Jornada a tiempo completo;2024T3;3623.64;27.11;2024;3
Información y comunicaciones;Jornada a tiempo completo;2024T4;3831.91;26.46;2024;4
Información y comunicaciones;Jornada a tiempo completo;2025T1;3995.25;26.03;2025;1
Información y comunicaciones;Jornada a tiempo completo;2025T2;3756.85;25.1;2025;2
Información y comunicaciones;Jornada a tiempo completo;2025T3;3820.6;28.31;2025;3
Información y comunicaciones;Jornada a tiempo completo;2025T4;4021.44;27.6;2025;4
Información y comunicaciones;Jornada a tiempo completo;2026T1;4130.74;27.13;2026;1
Información y comunicaciones;Jornada a tiempo parcial;2008T1;922.44;10.67;2008;1
Información y comunicaciones;Jornada a tiempo parcial;2008T2;951.54;10.63;2008;2
Información y comunicaciones;Jornada a tiempo parcial;2008T3;910.06;11.79;2008;3
