sector;tipo_jornada;unidad;periodo;valor
Total nacional;Jornada a tiempo parcial;Valor absoluto;2017T1;2874.3
Total nacional;Jornada a tiempo parcial;Valor absoluto;2016T4;2833.0
Total nacional;Jornada a tiempo parcial;Valor absoluto;2016T3;2697.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2016T2;2801.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2016T1;2830.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2015T4;2843.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2015T3;2750.4
Total nacional;Jornada a tiempo parcial;Valor absoluto;2015T2;2818.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2015T1;2836.6
Total nacional;Jornada a tiempo parcial;Valor absoluto;2014T4;2820.4
Total nacional;Jornada a tiempo parcial;Valor absoluto;2014T3;2624.5
Total nacional;Jornada a tiempo parcial;Valor absoluto;2014T2;2844.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2014T1;2746.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2013T4;2753.9
Total nacional;Jornada a tiempo parcial;Valor absoluto;2013T3;2613.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2013T2;2771.1
Total nacional;Jornada a tiempo parcial;Valor absoluto;2013T1;2690.4
Total nacional;Jornada a tiempo parcial;Valor absoluto;2012T4;2616.0
Total nacional;Jornada a tiempo parcial;Valor absoluto;2012T3;2495.4
Total nacional;Jornada a tiempo parcial;Valor absoluto;2012T2;2606.0
Total nacional;Jornada a tiempo parcial;Valor absoluto;2012T1;2501.4
Total nacional;Jornada a tiempo parcial;Valor absoluto;2011T4;2452.6
Total nacional;Jornada a tiempo parcial;Valor absoluto;2011T3;2395.3
Total nacional;Jornada a tiempo parcial;Valor absoluto;2011T2;2586.5
Total nacional;Jornada a tiempo parcial;Valor absoluto;2011T1;2557.9
Total nacional;Jornada a tiempo parcial;Valor absoluto;2010T4;2466.0
Total nacional;Jornada a tiempo parcial;Valor absoluto;2010T3;2361.3
Total nacional;Jornada a tiempo parcial;Valor absoluto;2010T2;2482.5
Total nacional;Jornada a tiempo parcial;Valor absoluto;2010T1;2442.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2009T4;2457.4
Total nacional;Jornada a tiempo parcial;Valor absoluto;2009T3;2300.5
Total nacional;Jornada a tiempo parcial;Valor absoluto;2009T2;2425.3
Total nacional;Jornada a tiempo parcial;Valor absoluto;2009T1;2403.6
Total nacional;Jornada a tiempo parcial;Valor absoluto;2008T4;2459.3
Total nacional;Jornada a tiempo parcial;Valor absoluto;2008T3;2298.8
Total nacional;Jornada a tiempo parcial;Valor absoluto;2008T2;2431.7
Total nacional;Jornada a tiempo parcial;Valor absoluto;2008T1;2434.2
Total nacional;Jornada a tiempo parcial;Porcentaje;2026T2;13.7
Total nacional;Jornada a tiempo parcial;Porcentaje;2026T1;13.6
Total nacional;Jornada a tiempo parcial;Porcentaje;2025T4;13.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2025T3;12.9
Total nacional;Jornada a tiempo parcial;Porcentaje;2025T2;13.9
Total nacional;Jornada a tiempo parcial;Porcentaje;2025T1;14.1
Total nacional;Jornada a tiempo parcial;Porcentaje;2024T4;14.0
Total nacional;Jornada a tiempo parcial;Porcentaje;2024T3;12.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2024T2;13.6
Total nacional;Jornada a tiempo parcial;Porcentaje;2024T1;13.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2023T4;13.5
Total nacional;Jornada a tiempo parcial;Porcentaje;2023T3;12.5
Total nacional;Jornada a tiempo parcial;Porcentaje;2023T2;13.5
Total nacional;Jornada a tiempo parcial;Porcentaje;2023T1;13.7
Total nacional;Jornada a tiempo parcial;Porcentaje;2022T4;13.6
Total nacional;Jornada a tiempo parcial;Porcentaje;2022T3;12.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2022T2;13.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2022T1;14.0
Total nacional;Jornada a tiempo parcial;Porcentaje;2021T4;13.6
Total nacional;Jornada a tiempo parcial;Porcentaje;2021T3;13.4
Total nacional;Jornada a tiempo parcial;Porcentaje;2021T2;14.4
Total nacional;Jornada a tiempo parcial;Porcentaje;2021T1;14.1
Total nacional;Jornada a tiempo parcial;Porcentaje;2020T4;14.5
Total nacional;Jornada a tiempo parcial;Porcentaje;2020T3;13.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2020T2;13.4
Total nacional;Jornada a tiempo parcial;Porcentaje;2020T1;14.5
Total nacional;Jornada a tiempo parcial;Porcentaje;2019T4;14.7
Total nacional;Jornada a tiempo parcial;Porcentaje;2019T3;14.0
Total nacional;Jornada a tiempo parcial;Porcentaje;2019T2;14.9
Total nacional;Jornada a tiempo parcial;Porcentaje;2019T1;14.9
Total nacional;Jornada a tiempo parcial;Porcentaje;2018T4;14.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2018T3;13.9
Total nacional;Jornada a tiempo parcial;Porcentaje;2018T2;15.0
Total nacional;Jornada a tiempo parcial;Porcentaje;2018T1;14.9
Total nacional;Jornada a tiempo parcial;Porcentaje;2017T4;14.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2017T3;14.3
Total nacional;Jornada a tiempo parcial;Porcentaje;2017T2;15.3
Total nacional;Jornada a tiempo parcial;Porcentaje;2017T1;15.6
Total nacional;Jornada a tiempo parcial;Porcentaje;2016T4;15.3
Total nacional;Jornada a tiempo parcial;Porcentaje;2016T3;14.6
Total nacional;Jornada a tiempo parcial;Porcentaje;2016T2;15.3
Total nacional;Jornada a tiempo parcial;Porcentaje;2016T1;15.7
Total nacional;Jornada a tiempo parcial;Porcentaje;2015T4;15.7
Total nacional;Jornada a tiempo parcial;Porcentaje;2015T3;15.2
Total nacional;Jornada a tiempo parcial;Porcentaje;2015T2;15.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2015T1;16.3
Total nacional;Jornada a tiempo parcial;Porcentaje;2014T4;16.1
Total nacional;Jornada a tiempo parcial;Porcentaje;2014T3;15.0
Total nacional;Jornada a tiempo parcial;Porcentaje;2014T2;16.4
Total nacional;Jornada a tiempo parcial;Porcentaje;2014T1;16.2
Total nacional;Jornada a tiempo parcial;Porcentaje;2013T4;16.1
Total nacional;Jornada a tiempo parcial;Porcentaje;2013T3;15.2
Total nacional;Jornada a tiempo parcial;Porcentaje;2013T2;16.1
Total nacional;Jornada a tiempo parcial;Porcentaje;2013T1;15.8
Total nacional;Jornada a tiempo parcial;Porcentaje;2012T4;15.1
Total nacional;Jornada a tiempo parcial;Porcentaje;2012T3;14.1
Total nacional;Jornada a tiempo parcial;Porcentaje;2012T2;14.7
Total nacional;Jornada a tiempo parcial;Porcentaje;2012T1;14.1
Total nacional;Jornada a tiempo parcial;Porcentaje;2011T4;13.5
