sector;tipo_jornada;unidad;periodo;valor
Total nacional;Total;Valor absoluto;2015T4;18094.2
Total nacional;Total;Valor absoluto;2015T3;18048.7
Total nacional;Total;Valor absoluto;2015T2;17866.5
Total nacional;Total;Valor absoluto;2015T1;17454.8
Total nacional;Total;Valor absoluto;2014T4;17569.1
Total nacional;Total;Valor absoluto;2014T3;17504.0
Total nacional;Total;Valor absoluto;2014T2;17353.0
Total nacional;Total;Valor absoluto;2014T1;16950.6
Total nacional;Total;Valor absoluto;2013T4;17135.2
Total nacional;Total;Valor absoluto;2013T3;17230.0
Total nacional;Total;Valor absoluto;2013T2;17160.6
Total nacional;Total;Valor absoluto;2013T1;17030.2
Total nacional;Total;Valor absoluto;2012T4;17339.4
Total nacional;Total;Valor absoluto;2012T3;17667.7
Total nacional;Total;Valor absoluto;2012T2;17758.5
Total nacional;Total;Valor absoluto;2012T1;17765.1
Total nacional;Total;Valor absoluto;2011T4;18153.0
Total nacional;Total;Valor absoluto;2011T3;18484.5
Total nacional;Total;Valor absoluto;2011T2;18622.0
Total nacional;Total;Valor absoluto;2011T1;18426.2
Total nacional;Total;Valor absoluto;2010T4;18674.9
Total nacional;Total;Valor absoluto;2010T3;18819.0
Total nacional;Total;Valor absoluto;2010T2;18751.1
Total nacional;Total;Valor absoluto;2010T1;18652.9
Total nacional;Total;Valor absoluto;2009T4;18890.4
Total nacional;Total;Valor absoluto;2009T3;19098.4
Total nacional;Total;Valor absoluto;2009T2;19154.2
Total nacional;Total;Valor absoluto;2009T1;19284.4
Total nacional;Total;Valor absoluto;2008T4;20055.3
Total nacional;Total;Valor absoluto;2008T3;20556.4
Total nacional;Total;Valor absoluto;2008T2;20646.9
Total nacional;Total;Valor absoluto;2008T1;20620.0
Total nacional;Total;Porcentaje;2026T2;100.0
Total nacional;Total;Porcentaje;2026T1;100.0
Total nacional;Total;Porcentaje;2025T4;100.0
Total nacional;Total;Porcentaje;2025T3;100.0
Total nacional;Total;Porcentaje;2025T2;100.0
Total nacional;Total;Porcentaje;2025T1;100.0
Total nacional;Total;Porcentaje;2024T4;100.0
Total nacional;Total;Porcentaje;2024T3;100.0
Total nacional;Total;Porcentaje;2024T2;100.0
Total nacional;Total;Porcentaje;2024T1;100.0
Total nacional;Total;Porcentaje;2023T4;100.0
Total nacional;Total;Porcentaje;2023T3;100.0
Total nacional;Total;Porcentaje;2023T2;100.0
Total nacional;Total;Porcentaje;2023T1;100.0
Total nacional;Total;Porcentaje;2022T4;100.0
Total nacional;Total;Porcentaje;2022T3;100.0
Total nacional;Total;Porcentaje;2022T2;100.0
Total nacional;Total;Porcentaje;2022T1;100.0
Total nacional;Total;Porcentaje;2021T4;100.0
Total nacional;Total;Porcentaje;2021T3;100.0
Total nacional;Total;Porcentaje;2021T2;100.0
Total nacional;Total;Porcentaje;2021T1;100.0
Total nacional;Total;Porcentaje;2020T4;100.0
Total nacional;Total;Porcentaje;2020T3;100.0
Total nacional;Total;Porcentaje;2020T2;100.0
Total nacional;Total;Porcentaje;2020T1;100.0
Total nacional;Total;Porcentaje;2019T4;100.0
Total nacional;Total;Porcentaje;2019T3;100.0
Total nacional;Total;Porcentaje;2019T2;100.0
Total nacional;Total;Porcentaje;2019T1;100.0
Total nacional;Total;Porcentaje;2018T4;100.0
Total nacional;Total;Porcentaje;2018T3;100.0
Total nacional;Total;Porcentaje;2018T2;100.0
Total nacional;Total;Porcentaje;2018T1;100.0
Total nacional;Total;Porcentaje;2017T4;100.0
Total nacional;Total;Porcentaje;2017T3;100.0
Total nacional;Total;Porcentaje;2017T2;100.0
Total nacional;Total;Porcentaje;2017T1;100.0
Total nacional;Total;Porcentaje;2016T4;100.0
Total nacional;Total;Porcentaje;2016T3;100.0
Total nacional;Total;Porcentaje;2016T2;100.0
Total nacional;Total;Porcentaje;2016T1;100.0
Total nacional;Total;Porcentaje;2015T4;100.0
Total nacional;Total;Porcentaje;2015T3;100.0
Total nacional;Total;Porcentaje;2015T2;100.0
Total nacional;Total;Porcentaje;2015T1;100.0
Total nacional;Total;Porcentaje;2014T4;100.0
Total nacional;Total;Porcentaje;2014T3;100.0
Total nacional;Total;Porcentaje;2014T2;100.0
Total nacional;Total;Porcentaje;2014T1;100.0
Total nacional;Total;Porcentaje;2013T4;100.0
Total nacional;Total;Porcentaje;2013T3;100.0
Total nacional;Total;Porcentaje;2013T2;100.0
Total nacional;Total;Porcentaje;2013T1;100.0
Total nacional;Total;Porcentaje;2012T4;100.0
Total nacional;Total;Porcentaje;2012T3;100.0
Total nacional;Total;Porcentaje;2012T2;100.0
Total nacional;Total;Porcentaje;2012T1;100.0
Total nacional;Total;Porcentaje;2011T4;100.0
Total nacional;Total;Porcentaje;2011T3;100.0
Total nacional;Total;Porcentaje;2011T2;100.0
Total nacional;Total;Porcentaje;2011T1;100.0
Total nacional;Total;Porcentaje;2010T4;100.0
Total nacional;Total;Porcentaje;2010T3;100.0
Total nacional;Total;Porcentaje;2010T2;100.0
Total nacional;Total;Porcentaje;2010T1;100.0
Total nacional;Total;Porcentaje;2009T4;100.0
Total nacional;Total;Porcentaje;2009T3;100.0
Total nacional;Total;Porcentaje;2009T2;100.0
Total nacional;Total;Porcentaje;2009T1;100.0
Total nacional;Total;Porcentaje;2008T4;100.0
Total nacional;Total;Porcentaje;2008T3;100.0
Total nacional;Total;Porcentaje;2008T2;100.0
Total nacional;Total;Porcentaje;2008T1;100.0
Total nacional;Jornada a tiempo completo;Valor absoluto;2026T2;19662.4
Total nacional;Jornada a tiempo completo;Valor absoluto;2026T1;19257.1
