Sexo;Secciones y divisiones de la CNAE-09;Media y percentiles;Periodo;Total
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 25;2022;24.005,44
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 50;2022;31.776,2
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 75;2022;43.064,13
Ambos sexos;36 Captación, depuración y distribución de agua;Percentil 90;2022;57.121,23
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Media;2022;28.931,64
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 10;2022;17.380,97
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 25;2022;21.941,15
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 50;2022;26.295,48
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 75;2022;33.501,17
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Percentil 90;2022;43.604
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Media;2022;28.567,38
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 10;2022;15.054,05
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 25;2022;19.953,63
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 50;2022;27.335,4
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 75;2022;34.993,97
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Percentil 90;2022;42.770,16
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Media;2022;-24.160,09
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 10;2022;-13.439,6
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 25;2022;-17.088,3
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 50;2022;-22.410,52
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 75;2022;-28.919,88
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Percentil 90;2022;-35.743,93
Ambos sexos;F Construcción;Media;2022;25.149,41
Ambos sexos;F Construcción;Percentil 10;2022;15.546,66
Ambos sexos;F Construcción;Percentil 25;2022;18.543,01
Ambos sexos;F Construcción;Percentil 50;2022;22.011,66
Ambos sexos;F Construcción;Percentil 75;2022;27.951,37
Ambos sexos;F Construcción;Percentil 90;2022;38.047,06
Ambos sexos;41 Construcción de edificios;Media;2022;25.418,13
Ambos sexos;41 Construcción de edificios;Percentil 10;2022;15.359,08
Ambos sexos;41 Construcción de edificios;Percentil 25;2022;18.380,46
Ambos sexos;41 Construcción de edificios;Percentil 50;2022;21.737,01
Ambos sexos;41 Construcción de edificios;Percentil 75;2022;27.871,17
Ambos sexos;41 Construcción de edificios;Percentil 90;2022;39.635,61
Ambos sexos;42 Ingeniería civil;Media;2022;30.626,69
Ambos sexos;42 Ingeniería civil;Percentil 10;2022;17.669,36
Ambos sexos;42 Ingeniería civil;Percentil 25;2022;21.313,58
Ambos sexos;42 Ingeniería civil;Percentil 50;2022;26.499
Ambos sexos;42 Ingeniería civil;Percentil 75;2022;35.026,76
Ambos sexos;42 Ingeniería civil;Percentil 90;2022;49.828,52
Ambos sexos;43 Actividades de construcción especializada;Media;2022;24.419,1
Ambos sexos;43 Actividades de construcción especializada;Percentil 10;2022;15.476,05
Ambos sexos;43 Actividades de construcción especializada;Percentil 25;2022;18.516,94
Ambos sexos;43 Actividades de construcción especializada;Percentil 50;2022;21.803,04
Ambos sexos;43 Actividades de construcción especializada;Percentil 75;2022;27.463,68
Ambos sexos;43 Actividades de construcción especializada;Percentil 90;2022;36.099,23
Ambos sexos;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Media;2022;23.209,55
Ambos sexos;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Percentil 10;2022;11.347,9
Ambos sexos;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Percentil 25;2022;15.077,43
Ambos sexos;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Percentil 50;2022;19.094,6
Ambos sexos;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Percentil 75;2022;25.728,02
Ambos sexos;G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Percentil 90;2022;39.281,5
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Media;2022;24.693,81
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Percentil 10;2022;14.402,52
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Percentil 25;2022;18.120,61
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Percentil 50;2022;21.873,92
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Percentil 75;2022;28.019,1
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Percentil 90;2022;36.749,94
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Media;2022;28.560,47
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Percentil 10;2022;13.805,51
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Percentil 25;2022;16.501,64
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Percentil 50;2022;21.999,96
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Percentil 75;2022;33.235,25
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Percentil 90;2022;53.015,64
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Media;2022;19.729,2
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Percentil 10;2022;10.084,56
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Percentil 25;2022;14.025,58
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Percentil 50;2022;17.412,31
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Percentil 75;2022;22.962,19
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Percentil 90;2022;30.315,87
Ambos sexos;H Transporte y almacenamiento;Media;2022;27.354,39
Ambos sexos;H Transporte y almacenamiento;Percentil 10;2022;13.989,24
Ambos sexos;H Transporte y almacenamiento;Percentil 25;2022;17.523,96
Ambos sexos;H Transporte y almacenamiento;Percentil 50;2022;23.665,91
Ambos sexos;H Transporte y almacenamiento;Percentil 75;2022;32.635,51
Ambos sexos;H Transporte y almacenamiento;Percentil 90;2022;45.833,98
Ambos sexos;49 Transporte terrestre y por tubería;Media;2022;25.422,7
Ambos sexos;49 Transporte terrestre y por tubería;Percentil 10;2022;13.600,74
Ambos sexos;49 Transporte terrestre y por tubería;Percentil 25;2022;16.808,54
Ambos sexos;49 Transporte terrestre y por tubería;Percentil 50;2022;22.516,5
Ambos sexos;49 Transporte terrestre y por tubería;Percentil 75;2022;30.475,43
Ambos sexos;49 Transporte terrestre y por tubería;Percentil 90;2022;43.549,51
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Media;2022;31.483,52
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Percentil 10;2022;15.332,42
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Percentil 25;2022;18.939,5
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Percentil 50;2022;26.687,11
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Percentil 75;2022;38.087,27
Ambos sexos;50 Transporte marítimo y por vías navegables interiores;Percentil 90;2022;58.926
Ambos sexos;51 Transporte aéreo;Media;2022;40.098,11
Ambos sexos;51 Transporte aéreo;Percentil 10;2022;19.320,61
Ambos sexos;51 Transporte aéreo;Percentil 25;2022;27.092,05
Ambos sexos;51 Transporte aéreo;Percentil 50;2022;36.462,8
Ambos sexos;51 Transporte aéreo;Percentil 75;2022;47.028,21
Ambos sexos;51 Transporte aéreo;Percentil 90;2022;63.578,17
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Media;2022;30.923,57
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Percentil 10;2022;15.222,14
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Percentil 25;2022;19.449,39
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Percentil 50;2022;26.074,11
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Percentil 75;2022;36.924,06
Ambos sexos;52 Almacenamiento y actividades anexas al transporte;Percentil 90;2022;50.247,08
Ambos sexos;53 Actividades postales y de correos;Media;2022;21.695,85
Ambos sexos;53 Actividades postales y de correos;Percentil 10;2022;12.948,62
Ambos sexos;53 Actividades postales y de correos;Percentil 25;2022;15.866,24
Ambos sexos;53 Actividades postales y de correos;Percentil 50;2022;22.390,81
Ambos sexos;53 Actividades postales y de correos;Percentil 75;2022;25.039,62
Ambos sexos;53 Actividades postales y de correos;Percentil 90;2022;29.531,76
Ambos sexos;I Hostelería;Media;2022;16.274,71
Ambos sexos;I Hostelería;Percentil 10;2022;5.835,71
Ambos sexos;I Hostelería;Percentil 25;2022;10.144,29
Ambos sexos;I Hostelería;Percentil 50;2022;16.283,07
Ambos sexos;I Hostelería;Percentil 75;2022;20.309,66
Ambos sexos;I Hostelería;Percentil 90;2022;25.317,63
Ambos sexos;55 Servicios de alojamiento;Media;2022;22.322,99
Ambos sexos;55 Servicios de alojamiento;Percentil 10;2022;12.211,01
Ambos sexos;55 Servicios de alojamiento;Percentil 25;2022;16.826,16
Ambos sexos;55 Servicios de alojamiento;Percentil 50;2022;20.872,2
Ambos sexos;55 Servicios de alojamiento;Percentil 75;2022;25.479
Ambos sexos;55 Servicios de alojamiento;Percentil 90;2022;32.340,4
Ambos sexos;56 Servicios de comidas y bebidas;Media;2022;14.365,07
Ambos sexos;56 Servicios de comidas y bebidas;Percentil 10;2022;5.213,1
Ambos sexos;56 Servicios de comidas y bebidas;Percentil 25;2022;8.940,59
Ambos sexos;56 Servicios de comidas y bebidas;Percentil 50;2022;14.960,74
Ambos sexos;56 Servicios de comidas y bebidas;Percentil 75;2022;18.369,48
Ambos sexos;56 Servicios de comidas y bebidas;Percentil 90;2022;21.834,68
Ambos sexos;J Información y comunicaciones;Media;2022;37.438,55
Ambos sexos;J Información y comunicaciones;Percentil 10;2022;15.939,44
Ambos sexos;J Información y comunicaciones;Percentil 25;2022;22.500
Ambos sexos;J Información y comunicaciones;Percentil 50;2022;33.153,63
Ambos sexos;J Información y comunicaciones;Percentil 75;2022;47.564,31
Ambos sexos;J Información y comunicaciones;Percentil 90;2022;65.040,73
Ambos sexos;58 Edición;Media;2022;34.925,68
Ambos sexos;58 Edición;Percentil 10;2022;16.091,67
Ambos sexos;58 Edición;Percentil 25;2022;21.616,72
Ambos sexos;58 Edición;Percentil 50;2022;30.209,69
Ambos sexos;58 Edición;Percentil 75;2022;42.771,66
Ambos sexos;58 Edición;Percentil 90;2022;62.229,31
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Media;2022;31.748,38
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Percentil 10;2022;10.810,98
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Percentil 25;2022;16.543,61
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Percentil 50;2022;26.325,82
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Percentil 75;2022;41.324,46
Ambos sexos;59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Percentil 90;2022;59.243,41
Ambos sexos;60 Actividades de programación y emisión de radio y televisión;Media;2022;45.753,51
Ambos sexos;60 Actividades de programación y emisión de radio y televisión;Percentil 10;2022;18.270
